sequence,send_time
110,1716471521.298
111,1716471522.299
112,1716471523.300
113,1716471524.301
114,1716471525.302
115,1716471526.303
116,1716471527.305
117,1716471528.306
118,1716471529.307
119,1716471530.308
120,1716471531.309
121,1716471532.310
122,1716471533.312
123,1716471534.313
124,1716471535.314
125,1716471536.315
126,1716471537.316
127,1716471538.317
128,1716471539.319
129,1716471540.320
130,1716471541.321
131,1716471542.322
132,1716471543.323
133,1716471544.324
134,1716471545.326
135,1716471546.327
136,1716471547.328
137,1716471548.329
138,1716471549.330
139,1716471550.331
140,1716471551.333
141,1716471552.334
142,1716471553.335
143,1716471554.336
144,1716471555.338
145,1716471556.339
146,1716471557.340
147,1716471558.342
148,1716471559.343
149,1716471560.344
150,1716471561.345
151,1716471562.346
152,1716471563.347
153,1716471564.347
154,1716471565.348
155,1716471566.349
156,1716471567.351
157,1716471568.352
158,1716471569.353
159,1716471570.354
160,1716471571.356
161,1716471572.357
162,1716471573.358
163,1716471574.360
164,1716471575.361
165,1716471576.362
166,1716471577.363
167,1716471578.365
168,1716471579.366
169,1716471580.367
170,1716471581.368
171,1716471582.369
172,1716471583.371
173,1716471584.372
174,1716471585.373
175,1716471586.374
176,1716471587.375
177,1716471588.376
178,1716471589.376
179,1716471590.377
180,1716471591.379
181,1716471592.380
182,1716471593.381
183,1716471594.382
184,1716471595.384
185,1716471596.385
186,1716471597.386
187,1716471598.387
188,1716471599.388
189,1716471600.390
190,1716471601.391
191,1716471602.392
192,1716471603.393
193,1716471604.394
194,1716471605.396
195,1716471606.397
196,1716471607.398
197,1716471608.400
198,1716471609.401
199,1716471610.402
200,1716471611.403
201,1716471612.404
202,1716471613.406
203,1716471614.407
204,1716471615.408
205,1716471616.409
206,1716471617.410
207,1716471618.412
208,1716471619.413
209,1716471620.414
210,1716471621.422
211,1716471622.424
212,1716471623.425
213,1716471624.426
214,1716471625.428
215,1716471626.429
216,1716471627.430
217,1716471628.432
218,1716471629.433
219,1716471630.434
220,1716471631.435
221,1716471632.437
222,1716471633.438
223,1716471634.439
224,1716471635.441
225,1716471636.442
226,1716471637.443
227,1716471638.445
228,1716471639.446
229,1716471640.447
230,1716471641.448
231,1716471642.449
232,1716471643.451
233,1716471644.452
234,1716471645.453
235,1716471646.458
236,1716471647.460
237,1716471648.461
238,1716471649.462
239,1716471650.464
240,1716471651.465
241,1716471652.466
242,1716471653.467
243,1716471654.469
244,1716471655.470
245,1716471656.471
246,1716471657.472
247,1716471658.474
248,1716471659.475
249,1716471660.476
250,1716471661.477
251,1716471662.478
252,1716471663.480
253,1716471664.481
254,1716471665.482
255,1716471666.484
256,1716471667.485
257,1716471668.486
258,1716471669.488
259,1716471670.489
260,1716471671.490
261,1716471672.491
262,1716471673.500
263,1716471674.501
264,1716471675.502
265,1716471676.503
266,1716471677.505
267,1716471678.506
268,1716471679.508
269,1716471680.509
270,1716471681.510
271,1716471682.511
272,1716471683.516
273,1716471684.518
274,1716471685.519
275,1716471686.520
276,1716471687.521
277,1716471688.523
278,1716471689.524
279,1716471690.525
280,1716471691.526
281,1716471692.528
282,1716471693.529
283,1716471694.530
284,1716471695.532
285,1716471696.533
286,1716471697.534
287,1716471698.542
288,1716471699.544
289,1716471700.545
290,1716471701.546
291,1716471702.548
292,1716471703.554
293,1716471704.556
294,1716471705.557
295,1716471706.558
296,1716471707.559
297,1716471708.563
298,1716471709.564
299,1716471710.566
300,1716471711.567
301,1716471712.568
302,1716471713.569
303,1716471714.571
304,1716471715.572
305,1716471716.573
306,1716471717.574
307,1716471718.579
308,1716471719.581
309,1716471720.582
310,1716471721.583
311,1716471722.585
312,1716471723.586
313,1716471724.587
314,1716471725.588
315,1716471726.589
316,1716471727.590
317,1716471728.594
318,1716471729.595
319,1716471730.597
320,1716471731.598
321,1716471732.599
322,1716471733.600
323,1716471734.602
324,1716471735.603
325,1716471736.604
326,1716471737.605
327,1716471738.607
328,1716471739.608
329,1716471740.609
330,1716471741.610
331,1716471742.611
332,1716471743.613
333,1716471744.614
334,1716471745.615
335,1716471746.616
336,1716471747.618
337,1716471748.619
338,1716471749.620
339,1716471750.621
340,1716471751.623
341,1716471752.624
342,1716471753.625
343,1716471754.629
344,1716471755.630
345,1716471756.631
346,1716471757.632
347,1716471758.634
348,1716471759.635
349,1716471760.636
350,1716471761.637
351,1716471762.638
352,1716471763.640
353,1716471764.641
354,1716471765.642
355,1716471766.644
356,1716471767.645
357,1716471768.646
358,1716471769.647
359,1716471770.648
360,1716471771.650
361,1716471772.651
362,1716471773.652
363,1716471774.659
364,1716471775.660
365,1716471776.661
366,1716471777.662
367,1716471778.664
368,1716471779.665
369,1716471780.666
370,1716471781.668
371,1716471782.669
372,1716471783.670
373,1716471784.671
374,1716471785.673
375,1716471786.674
376,1716471787.675
377,1716471788.676
378,1716471789.677
379,1716471790.679
380,1716471791.680
381,1716471792.681
382,1716471793.683
383,1716471794.684
384,1716471795.685
385,1716471796.686
386,1716471797.688
387,1716471798.689
388,1716471799.690
389,1716471800.691
390,1716471801.693
391,1716471802.694
392,1716471803.695
393,1716471804.697
394,1716471805.698
395,1716471806.699
396,1716471807.700
397,1716471808.701
398,1716471809.710
399,1716471810.711
400,1716471811.712
401,1716471812.713
402,1716471813.715
403,1716471814.721
404,1716471815.722
405,1716471816.723
406,1716471817.725
407,1716471818.726
408,1716471819.727
409,1716471820.728
410,1716471821.730
411,1716471822.731
412,1716471823.732
413,1716471824.733
414,1716471825.735
415,1716471826.736
416,1716471827.737
417,1716471828.739
418,1716471829.740
419,1716471830.741
420,1716471831.742
421,1716471832.744
422,1716471833.745
423,1716471834.746
424,1716471835.748
425,1716471836.749
426,1716471837.750
427,1716471838.751
428,1716471839.752
429,1716471840.754
430,1716471841.755
431,1716471842.756
432,1716471843.758
433,1716471844.759
434,1716471845.760
435,1716471846.761
436,1716471847.763
437,1716471848.764
438,1716471849.765
439,1716471850.766
440,1716471851.768
441,1716471852.769
442,1716471853.770
443,1716471854.778
444,1716471855.780
445,1716471856.781
446,1716471857.782
447,1716471858.784
448,1716471859.787
449,1716471860.789
450,1716471861.790
451,1716471862.791
452,1716471863.792
453,1716471864.794
454,1716471865.795
455,1716471866.796
456,1716471867.797
457,1716471868.799
458,1716471869.801
459,1716471870.802
460,1716471871.804
461,1716471872.806
462,1716471873.807
463,1716471874.809
464,1716471875.810
465,1716471876.812
466,1716471877.813
467,1716471878.814
468,1716471879.816
469,1716471880.817
470,1716471881.819
471,1716471882.824
472,1716471883.825
473,1716471884.827
474,1716471885.828
475,1716471886.830
476,1716471887.832
477,1716471888.833
478,1716471889.835
479,1716471890.836
480,1716471891.838
481,1716471892.840
482,1716471893.841
483,1716471894.843
484,1716471895.844
485,1716471896.845
486,1716471897.847
487,1716471898.848
488,1716471899.850
489,1716471900.852
490,1716471901.853
491,1716471902.854
492,1716471903.856
493,1716471904.857
494,1716471905.858
495,1716471906.860
496,1716471907.861
497,1716471908.863
498,1716471909.864
499,1716471910.865
500,1716471911.866
501,1716471912.868
502,1716471913.869
503,1716471914.870
504,1716471915.871
505,1716471916.872
506,1716471917.874
507,1716471918.875
508,1716471919.877
509,1716471920.878
510,1716471921.880
511,1716471922.881
512,1716471923.883
513,1716471924.884
514,1716471925.885
515,1716471926.887
516,1716471927.888
517,1716471928.889
518,1716471929.891
519,1716471930.892
520,1716471931.893
521,1716471932.895
522,1716471933.896
523,1716471934.897
524,1716471935.899
525,1716471936.900
526,1716471937.901
527,1716471938.903
528,1716471939.904
529,1716471940.905
530,1716471941.906
531,1716471942.908
532,1716471943.909
533,1716471944.910
534,1716471945.911
535,1716471946.913
536,1716471947.923
537,1716471948.925
538,1716471949.926
539,1716471950.927
540,1716471951.928
541,1716471952.929
542,1716471953.931
543,1716471954.932
544,1716471955.933
545,1716471956.935
546,1716471957.936
547,1716471958.937
548,1716471959.939
549,1716471960.940
550,1716471961.941
551,1716471962.942
552,1716471963.952
553,1716471964.953
554,1716471965.954
555,1716471966.955
556,1716471967.957
557,1716471968.958
558,1716471969.959
559,1716471970.960
560,1716471971.962
561,1716471972.963
562,1716471973.964
563,1716471974.966
564,1716471975.967
565,1716471976.969
566,1716471977.970
567,1716471978.979
568,1716471979.981
569,1716471980.982
570,1716471981.983
571,1716471982.984
572,1716471983.986
573,1716471984.987
574,1716471985.988
575,1716471986.990
576,1716471987.991
577,1716471988.998
578,1716471990.000
579,1716471991.001
580,1716471992.002
581,1716471993.004
582,1716471994.005
583,1716471995.006
584,1716471996.008
585,1716471997.009
586,1716471998.010
587,1716471999.012
588,1716472000.013
589,1716472001.014
590,1716472002.016
591,1716472003.017
592,1716472004.022
593,1716472005.023
594,1716472006.024
595,1716472007.026
596,1716472008.027
597,1716472009.028
598,1716472010.030
599,1716472011.031
600,1716472012.033
601,1716472013.034
602,1716472014.035
603,1716472015.037
604,1716472016.038
605,1716472017.039
606,1716472018.040
607,1716472019.042
608,1716472020.043
609,1716472021.044
610,1716472022.045
611,1716472023.047
612,1716472024.048
613,1716472025.049
614,1716472026.050
615,1716472027.052
616,1716472028.053
617,1716472029.054
618,1716472030.056
619,1716472031.057
620,1716472032.058
621,1716472033.059
622,1716472034.061
623,1716472035.062
624,1716472036.063
625,1716472037.065
626,1716472038.066
627,1716472039.067
628,1716472040.069
629,1716472041.070
630,1716472042.071
631,1716472043.073
632,1716472044.074
633,1716472045.075
634,1716472046.077
635,1716472047.078
636,1716472048.079
637,1716472049.080
638,1716472050.081
639,1716472051.083
640,1716472052.084
641,1716472053.085
642,1716472054.086
643,1716472055.088
644,1716472056.089
645,1716472057.090
646,1716472058.092
647,1716472059.093
648,1716472060.094
649,1716472061.095
650,1716472062.097
651,1716472063.102
652,1716472064.103
653,1716472065.104
654,1716472066.105
655,1716472067.107
656,1716472068.108
657,1716472069.109
658,1716472070.110
659,1716472071.112
660,1716472072.113
661,1716472073.114
662,1716472074.115
663,1716472075.117
664,1716472076.118
665,1716472077.119
666,1716472078.121
667,1716472079.122
668,1716472080.123
669,1716472081.124
670,1716472082.126
671,1716472083.127
672,1716472084.128
673,1716472085.130
674,1716472086.131
675,1716472087.132
676,1716472088.133
677,1716472089.135
678,1716472090.136
679,1716472091.137
680,1716472092.139
681,1716472093.148
682,1716472094.149
683,1716472095.150
684,1716472096.152
685,1716472097.153
686,1716472098.154
687,1716472099.155
688,1716472100.156
689,1716472101.158
690,1716472102.159
691,1716472103.160
692,1716472104.162
693,1716472105.163
694,1716472106.164
695,1716472107.165
696,1716472108.173
697,1716472109.174
698,1716472110.175
699,1716472111.176
700,1716472112.178
701,1716472113.179
702,1716472114.180
703,1716472115.181
704,1716472116.183
705,1716472117.184
706,1716472118.185
707,1716472119.191
708,1716472120.193
709,1716472121.194
710,1716472122.195
711,1716472123.196
712,1716472124.205
713,1716472125.207
714,1716472126.208
715,1716472127.209
716,1716472128.210
717,1716472129.217
718,1716472130.218
719,1716472131.219
720,1716472132.220
721,1716472133.222
722,1716472134.223
723,1716472135.224
724,1716472136.225
725,1716472137.227
726,1716472138.228
727,1716472139.229
728,1716472140.230
729,1716472141.232
730,1716472142.233
731,1716472143.234
732,1716472144.239
733,1716472145.240
734,1716472146.242
735,1716472147.243
736,1716472148.244
737,1716472149.245
738,1716472150.246
739,1716472151.248
740,1716472152.249
741,1716472153.250
742,1716472154.260
743,1716472155.261
744,1716472156.262
745,1716472157.263
746,1716472158.265
747,1716472159.266
748,1716472160.267
749,1716472161.269
750,1716472162.270
751,1716472163.271
752,1716472164.276
753,1716472165.277
754,1716472166.279
755,1716472167.280
756,1716472168.281
757,1716472169.282
758,1716472170.284
759,1716472171.285
760,1716472172.286
761,1716472173.288
762,1716472174.289
763,1716472175.290
764,1716472176.291
765,1716472177.293
766,1716472178.294
767,1716472179.298
768,1716472180.299
769,1716472181.300
770,1716472182.302
771,1716472183.303
772,1716472184.304
773,1716472185.306
774,1716472186.307
775,1716472187.308
776,1716472188.309
777,1716472189.317
778,1716472190.318
779,1716472191.320
780,1716472192.321
781,1716472193.322
782,1716472194.324
783,1716472195.325
784,1716472196.326
785,1716472197.328
786,1716472198.329
787,1716472199.330
788,1716472200.332
789,1716472201.333
790,1716472202.334
791,1716472203.335
792,1716472204.337
793,1716472205.338
794,1716472206.339
795,1716472207.340
796,1716472208.342
797,1716472209.343
798,1716472210.344
799,1716472211.346
800,1716472212.347
801,1716472213.348
802,1716472214.349
803,1716472215.351
804,1716472216.352
805,1716472217.353
806,1716472218.355
807,1716472219.356
808,1716472220.357
809,1716472221.359
810,1716472222.360
811,1716472223.361
812,1716472224.369
813,1716472225.370
814,1716472226.372
815,1716472227.373
816,1716472228.374
817,1716472229.376
818,1716472230.377
819,1716472231.378
820,1716472232.379
821,1716472233.380
822,1716472234.382
823,1716472235.383
824,1716472236.384
825,1716472237.385
826,1716472238.386
827,1716472239.396
828,1716472240.397
829,1716472241.398
830,1716472242.399
831,1716472243.401
832,1716472244.402
833,1716472245.403
834,1716472246.405
835,1716472247.406
836,1716472248.407
837,1716472249.408
838,1716472250.409
839,1716472251.411
840,1716472252.412
841,1716472253.413
842,1716472254.419
843,1716472255.421
844,1716472256.422
845,1716472257.423
846,1716472258.424
847,1716472259.429
848,1716472260.431
849,1716472261.432
850,1716472262.434
851,1716472263.435
852,1716472264.436
853,1716472265.438
854,1716472266.439
855,1716472267.440
856,1716472268.442
857,1716472269.448
858,1716472270.449
859,1716472271.450
860,1716472272.452
861,1716472273.453
862,1716472274.459
863,1716472275.460
864,1716472276.461
865,1716472277.463
866,1716472278.464
867,1716472279.465
868,1716472280.466
869,1716472281.468
870,1716472282.469
871,1716472283.470
872,1716472284.472
873,1716472285.473
874,1716472286.474
875,1716472287.476
876,1716472288.477
877,1716472289.478
878,1716472290.479
879,1716472291.481
880,1716472292.482
881,1716472293.483
882,1716472294.485
883,1716472295.486
884,1716472296.487
885,1716472297.489
886,1716472298.490
887,1716472299.491
888,1716472300.493
889,1716472301.494
890,1716472302.495
891,1716472303.496
892,1716472304.498
893,1716472305.499
894,1716472306.500
895,1716472307.501
896,1716472308.503
897,1716472309.508
898,1716472310.509
899,1716472311.510
900,1716472312.512
901,1716472313.513
902,1716472314.514
903,1716472315.516
904,1716472316.517
905,1716472317.518
906,1716472318.519
907,1716472319.521
908,1716472320.522
909,1716472321.523
910,1716472322.525
911,1716472323.526
912,1716472324.527
913,1716472325.529
914,1716472326.530
915,1716472327.536
916,1716472328.537
917,1716472329.538
