sequence,send_time
194,1716469171.747
195,1716469172.748
196,1716469173.750
197,1716469174.780
198,1716469175.781
199,1716469176.782
200,1716469177.784
201,1716469178.785
202,1716469179.786
203,1716469180.787
204,1716469181.788
205,1716469182.790
206,1716469183.791
207,1716469184.792
208,1716469185.794
209,1716469186.795
210,1716469187.796
211,1716469188.797
212,1716469189.801
213,1716469190.802
214,1716469191.803
215,1716469192.805
216,1716469193.806
217,1716469194.807
218,1716469195.808
219,1716469196.809
220,1716469197.811
221,1716469198.812
222,1716469199.813
223,1716469200.814
224,1716469201.816
225,1716469202.817
226,1716469203.818
227,1716469204.820
228,1716469205.821
229,1716469206.822
230,1716469207.823
231,1716469208.824
232,1716469209.826
233,1716469210.827
234,1716469211.828
235,1716469212.829
236,1716469213.831
237,1716469214.838
238,1716469215.839
239,1716469216.840
240,1716469217.842
241,1716469218.843
242,1716469219.844
243,1716469220.845
244,1716469221.847
245,1716469222.848
246,1716469223.849
247,1716469224.850
248,1716469225.852
249,1716469226.853
250,1716469227.854
251,1716469228.855
252,1716469229.857
253,1716469230.858
254,1716469231.859
255,1716469232.860
256,1716469233.861
257,1716469234.862
258,1716469235.864
259,1716469236.865
260,1716469237.866
261,1716469238.868
262,1716469239.869
263,1716469240.870
264,1716469241.871
265,1716469242.873
266,1716469243.874
267,1716469244.883
268,1716469245.884
269,1716469246.885
270,1716469247.887
271,1716469248.888
272,1716469249.889
273,1716469250.890
274,1716469251.892
275,1716469252.893
276,1716469253.894
277,1716469254.895
278,1716469255.897
279,1716469256.898
280,1716469257.899
281,1716469258.901
282,1716469259.902
283,1716469260.903
284,1716469261.904
285,1716469262.906
286,1716469263.907
287,1716469264.908
288,1716469265.909
289,1716469266.913
290,1716469267.914
291,1716469268.916
292,1716469269.917
293,1716469270.918
294,1716469271.925
295,1716469272.926
296,1716469273.927
297,1716469274.929
298,1716469275.930
299,1716469276.936
300,1716469277.937
301,1716469278.939
302,1716469279.940
303,1716469280.941
304,1716469281.942
305,1716469282.944
306,1716469283.945
307,1716469284.946
308,1716469285.947
309,1716469286.949
310,1716469287.950
311,1716469288.951
312,1716469289.953
313,1716469290.954
314,1716469291.955
315,1716469292.956
316,1716469293.958
317,1716469294.959
318,1716469295.960
319,1716469296.961
320,1716469297.963
321,1716469298.964
322,1716469299.965
323,1716469300.966
324,1716469301.967
325,1716469302.969
326,1716469303.970
327,1716469304.971
328,1716469305.972
329,1716469306.974
330,1716469307.975
331,1716469308.977
332,1716469309.978
333,1716469310.979
334,1716469311.980
335,1716469312.981
336,1716469313.983
337,1716469314.984
338,1716469315.985
339,1716469316.987
340,1716469317.988
341,1716469318.989
342,1716469319.990
343,1716469320.992
344,1716469321.993
345,1716469322.994
346,1716469323.996
347,1716469324.997
348,1716469325.998
349,1716469327.003
350,1716469328.004
351,1716469329.005
352,1716469330.006
353,1716469331.008
354,1716469332.012
355,1716469333.014
356,1716469334.015
357,1716469335.016
358,1716469336.017
359,1716469337.018
360,1716469338.020
361,1716469339.021
362,1716469340.022
363,1716469341.023
364,1716469342.030
365,1716469343.031
366,1716469344.033
367,1716469345.034
368,1716469346.035
369,1716469347.041
370,1716469348.042
371,1716469349.044
372,1716469350.045
373,1716469351.046
374,1716469352.054
375,1716469353.055
376,1716469354.056
377,1716469355.057
378,1716469356.058
379,1716469357.063
380,1716469358.065
381,1716469359.066
382,1716469360.067
383,1716469361.068
384,1716469362.069
385,1716469363.071
386,1716469364.072
387,1716469365.073
388,1716469366.074
389,1716469367.081
390,1716469368.082
391,1716469369.083
392,1716469370.084
393,1716469371.086
394,1716469372.087
395,1716469373.088
396,1716469374.089
397,1716469375.091
398,1716469376.092
399,1716469377.093
400,1716469378.094
401,1716469379.096
402,1716469380.097
403,1716469381.098
404,1716469382.106
405,1716469383.108
406,1716469384.109
407,1716469385.110
408,1716469386.111
409,1716469387.112
410,1716469388.114
411,1716469389.115
412,1716469390.116
413,1716469391.117
414,1716469392.123
415,1716469393.125
416,1716469394.126
417,1716469395.127
418,1716469396.128
419,1716469397.129
420,1716469398.131
421,1716469399.132
422,1716469400.133
423,1716469401.134
424,1716469402.142
425,1716469403.144
426,1716469404.145
427,1716469405.146
428,1716469406.148
429,1716469407.149
430,1716469408.150
431,1716469409.151
432,1716469410.153
433,1716469411.154
434,1716469412.160
435,1716469413.161
436,1716469414.163
437,1716469415.164
438,1716469416.165
439,1716469417.167
440,1716469418.168
441,1716469419.169
442,1716469420.170
443,1716469421.172
444,1716469422.173
445,1716469423.174
446,1716469424.175
447,1716469425.177
448,1716469426.178
449,1716469427.179
450,1716469428.180
451,1716469429.181
452,1716469430.182
453,1716469431.184
454,1716469432.185
455,1716469433.186
456,1716469434.188
457,1716469435.189
458,1716469436.190
459,1716469437.198
460,1716469438.199
461,1716469439.200
462,1716469440.202
463,1716469441.203
464,1716469442.204
465,1716469443.205
466,1716469444.207
467,1716469445.208
468,1716469446.209
469,1716469447.210
470,1716469448.212
471,1716469449.213
472,1716469450.214
473,1716469451.215
474,1716469452.217
475,1716469453.218
476,1716469454.219
477,1716469455.220
478,1716469456.222
479,1716469457.228
480,1716469458.229
481,1716469459.230
482,1716469460.232
483,1716469461.233
484,1716469462.234
485,1716469463.235
486,1716469464.237
487,1716469465.238
488,1716469466.239
489,1716469467.247
490,1716469468.248
491,1716469469.249
492,1716469470.251
493,1716469471.252
494,1716469472.253
495,1716469473.254
496,1716469474.256
497,1716469475.257
498,1716469476.258
499,1716469477.262
500,1716469478.263
501,1716469479.264
502,1716469480.265
503,1716469481.267
504,1716469482.268
505,1716469483.269
506,1716469484.270
507,1716469485.272
508,1716469486.273
509,1716469487.274
510,1716469488.275
511,1716469489.277
512,1716469490.278
513,1716469491.279
514,1716469492.280
515,1716469493.282
516,1716469494.283
517,1716469495.284
518,1716469496.285
519,1716469497.287
520,1716469498.288
521,1716469499.289
522,1716469500.291
523,1716469501.292
524,1716469502.293
525,1716469503.294
526,1716469504.296
527,1716469505.297
528,1716469506.298
529,1716469507.299
530,1716469508.301
531,1716469509.302
532,1716469510.303
533,1716469511.304
534,1716469512.309
535,1716469513.310
536,1716469514.312
537,1716469515.313
538,1716469516.314
539,1716469517.320
540,1716469518.321
541,1716469519.323
542,1716469520.324
543,1716469521.325
544,1716469522.326
545,1716469523.328
546,1716469524.329
547,1716469525.330
548,1716469526.332
549,1716469527.333
550,1716469528.334
551,1716469529.335
552,1716469530.336
553,1716469531.338
554,1716469532.339
555,1716469533.340
556,1716469534.341
557,1716469535.343
558,1716469536.344
559,1716469537.345
560,1716469538.346
561,1716469539.348
562,1716469540.349
563,1716469541.350
564,1716469542.351
565,1716469543.353
566,1716469544.354
567,1716469545.355
568,1716469546.356
569,1716469547.357
570,1716469548.359
571,1716469549.360
572,1716469550.361
573,1716469551.362
574,1716469552.364
575,1716469553.365
576,1716469554.366
577,1716469555.367
578,1716469556.369
579,1716469557.370
580,1716469558.371
581,1716469559.372
582,1716469560.374
583,1716469561.375
584,1716469562.376
585,1716469563.377
586,1716469564.379
587,1716469565.380
588,1716469566.381
589,1716469567.383
590,1716469568.384
591,1716469569.385
592,1716469570.386
593,1716469571.388
594,1716469572.389
595,1716469573.390
596,1716469574.391
597,1716469575.393
598,1716469576.394
599,1716469577.400
600,1716469578.401
601,1716469579.402
602,1716469580.404
603,1716469581.405
604,1716469582.406
605,1716469583.408
606,1716469584.409
607,1716469585.410
608,1716469586.411
609,1716469587.412
610,1716469588.414
611,1716469589.415
612,1716469590.416
613,1716469591.417
614,1716469592.423
615,1716469593.424
616,1716469594.425
617,1716469595.426
618,1716469596.428
619,1716469597.429
620,1716469598.430
621,1716469599.432
622,1716469600.433
623,1716469601.434
624,1716469602.435
625,1716469603.436
626,1716469604.438
627,1716469605.439
628,1716469606.440
629,1716469607.441
630,1716469608.443
631,1716469609.444
632,1716469610.445
633,1716469611.446
634,1716469612.451
635,1716469613.452
636,1716469614.453
637,1716469615.455
638,1716469616.456
639,1716469617.457
640,1716469618.459
641,1716469619.460
642,1716469620.461
643,1716469621.462
644,1716469622.464
645,1716469623.465
646,1716469624.466
647,1716469625.467
648,1716469626.468
649,1716469627.470
650,1716469628.471
651,1716469629.472
652,1716469630.473
653,1716469631.475
654,1716469632.476
655,1716469633.477
656,1716469634.478
657,1716469635.480
658,1716469636.481
659,1716469637.482
660,1716469638.483
661,1716469639.485
662,1716469640.486
663,1716469641.487
664,1716469642.488
665,1716469643.490
666,1716469644.491
667,1716469645.492
668,1716469646.493
669,1716469647.495
670,1716469648.496
671,1716469649.497
672,1716469650.498
673,1716469651.500
674,1716469652.501
675,1716469653.502
676,1716469654.503
677,1716469655.505
678,1716469656.506
679,1716469657.515
680,1716469658.516
681,1716469659.517
682,1716469660.519
683,1716469661.520
684,1716469662.521
685,1716469663.522
686,1716469664.524
687,1716469665.525
688,1716469666.526
689,1716469667.531
690,1716469668.532
691,1716469669.534
692,1716469670.535
693,1716469671.536
694,1716469672.537
695,1716469673.539
696,1716469674.540
697,1716469675.541
698,1716469676.542
699,1716469677.544
700,1716469678.545
701,1716469679.546
702,1716469680.547
703,1716469681.549
704,1716469682.550
705,1716469683.551
706,1716469684.552
707,1716469685.554
708,1716469686.555
709,1716469687.563
710,1716469688.564
711,1716469689.566
712,1716469690.567
713,1716469691.569
714,1716469692.570
715,1716469693.571
716,1716469694.573
717,1716469695.574
718,1716469696.575
719,1716469697.577
720,1716469698.578
721,1716469699.579
722,1716469700.580
723,1716469701.582
724,1716469702.583
725,1716469703.584
726,1716469704.585
727,1716469705.586
728,1716469706.588
729,1716469707.589
730,1716469708.590
731,1716469709.591
732,1716469710.593
733,1716469711.594
734,1716469712.595
735,1716469713.596
736,1716469714.598
737,1716469715.599
738,1716469716.600
739,1716469717.610
740,1716469718.611
741,1716469719.612
742,1716469720.614
743,1716469721.615
744,1716469722.616
745,1716469723.617
746,1716469724.619
747,1716469725.620
748,1716469726.621
749,1716469727.622
750,1716469728.624
751,1716469729.625
752,1716469730.626
753,1716469731.627
754,1716469732.629
755,1716469733.630
756,1716469734.631
757,1716469735.632
758,1716469736.634
759,1716469737.635
760,1716469738.636
761,1716469739.637
762,1716469740.638
763,1716469741.640
764,1716469742.641
765,1716469743.642
766,1716469744.644
767,1716469745.645
768,1716469746.646
769,1716469747.652
770,1716469748.653
771,1716469749.654
772,1716469750.656
773,1716469751.657
774,1716469752.658
775,1716469753.660
776,1716469754.661
777,1716469755.662
778,1716469756.664
779,1716469757.665
780,1716469758.666
781,1716469759.667
782,1716469760.669
783,1716469761.670
784,1716469762.677
785,1716469763.679
786,1716469764.680
787,1716469765.681
788,1716469766.682
789,1716469767.684
790,1716469768.685
791,1716469769.686
792,1716469770.687
793,1716469771.689
794,1716469772.692
795,1716469773.693
796,1716469774.695
797,1716469775.696
798,1716469776.697
799,1716469777.699
800,1716469778.700
801,1716469779.701
802,1716469780.702
803,1716469781.704
804,1716469782.705
805,1716469783.706
806,1716469784.708
807,1716469785.709
808,1716469786.710
809,1716469787.715
810,1716469788.716
811,1716469789.717
812,1716469790.719
813,1716469791.720
814,1716469792.721
815,1716469793.722
816,1716469794.724
817,1716469795.725
818,1716469796.726
819,1716469797.730
820,1716469798.731
821,1716469799.732
822,1716469800.733
823,1716469801.734
824,1716469802.738
825,1716469803.739
826,1716469804.741
827,1716469805.742
828,1716469806.743
829,1716469807.744
830,1716469808.746
831,1716469809.747
832,1716469810.748
833,1716469811.749
834,1716469812.756
835,1716469813.757
836,1716469814.758
837,1716469815.760
838,1716469816.761
839,1716469817.762
840,1716469818.764
841,1716469819.765
842,1716469820.766
843,1716469821.767
844,1716469822.768
845,1716469823.770
846,1716469824.771
847,1716469825.772
848,1716469826.774
849,1716469827.775
850,1716469828.776
851,1716469829.777
852,1716469830.778
853,1716469831.780
854,1716469832.781
855,1716469833.782
856,1716469834.784
857,1716469835.785
858,1716469836.786
859,1716469837.791
860,1716469838.792
861,1716469839.794
862,1716469840.795
863,1716469841.796
864,1716469842.802
865,1716469843.804
866,1716469844.805
867,1716469845.806
868,1716469846.808
869,1716469847.809
870,1716469848.810
871,1716469849.811
872,1716469850.813
873,1716469851.814
874,1716469852.815
875,1716469853.816
876,1716469854.817
877,1716469855.819
878,1716469856.820
879,1716469857.821
880,1716469858.822
881,1716469859.824
882,1716469860.825
883,1716469861.826
884,1716469862.828
885,1716469863.829
886,1716469864.830
887,1716469865.831
888,1716469866.832
889,1716469867.834
890,1716469868.835
891,1716469869.836
892,1716469870.837
893,1716469871.838
894,1716469872.840
895,1716469873.841
896,1716469874.842
897,1716469875.843
898,1716469876.845
899,1716469877.851
900,1716469878.852
901,1716469879.853
902,1716469880.855
903,1716469881.856
904,1716469882.857
905,1716469883.859
906,1716469884.860
907,1716469885.861
908,1716469886.863
909,1716469887.864
910,1716469888.865
911,1716469889.866
912,1716469890.868
913,1716469891.869
914,1716469892.870
915,1716469893.871
916,1716469894.873
917,1716469895.874
918,1716469896.875
919,1716469897.876
920,1716469898.878
921,1716469899.879
922,1716469900.880
923,1716469901.881
924,1716469902.883
925,1716469903.884
926,1716469904.885
927,1716469905.886
928,1716469906.888
929,1716469907.889
930,1716469908.890
931,1716469909.892
932,1716469910.893
933,1716469911.894
934,1716469912.900
935,1716469913.901
936,1716469914.903
937,1716469915.904
938,1716469916.905
939,1716469917.906
940,1716469918.908
941,1716469919.909
942,1716469920.910
943,1716469921.912
944,1716469922.913
945,1716469923.914
946,1716469924.915
947,1716469925.917
948,1716469926.918
949,1716469927.924
950,1716469928.925
951,1716469929.927
952,1716469930.928
953,1716469931.929
954,1716469932.936
955,1716469933.938
956,1716469934.939
957,1716469935.940
958,1716469936.941
959,1716469937.946
960,1716469938.948
961,1716469939.949
962,1716469940.950
963,1716469941.952
964,1716469942.953
965,1716469943.954
966,1716469944.956
967,1716469945.957
968,1716469946.958
969,1716469947.966
970,1716469948.967
971,1716469949.968
972,1716469950.969
973,1716469951.971
974,1716469952.977
975,1716469953.978
976,1716469954.979
977,1716469955.980
978,1716469956.982
979,1716469957.988
980,1716469958.989
981,1716469959.990
982,1716469960.992
983,1716469961.993
984,1716469962.994
985,1716469963.995
986,1716469964.996
987,1716469965.998
988,1716469966.999
989,1716469968.000
990,1716469969.001
991,1716469970.003
992,1716469971.004
993,1716469972.005
994,1716469973.006
995,1716469974.008
996,1716469975.009
997,1716469976.010
998,1716469977.011
999,1716469978.012
1000,1716469979.014
1001,1716469980.015
1002,1716469981.016
1003,1716469982.018
1004,1716469983.019
1005,1716469984.020
1006,1716469985.021
1007,1716469986.022
1008,1716469987.024
1009,1716469988.025
1010,1716469989.026
1011,1716469990.027
1012,1716469991.029
1013,1716469992.030
1014,1716469993.035
1015,1716469994.036
1016,1716469995.037
1017,1716469996.038
1018,1716469997.040
1019,1716469998.041
1020,1716469999.042
1021,1716470000.043
1022,1716470001.045
1023,1716470002.046
1024,1716470003.053
1025,1716470004.054
1026,1716470005.055
1027,1716470006.056
1028,1716470007.058
1029,1716470008.061
1030,1716470009.063
1031,1716470010.064
1032,1716470011.065
1033,1716470012.066
1034,1716470013.068
1035,1716470014.069
1036,1716470015.070
1037,1716470016.071
1038,1716470017.072
1039,1716470018.074
1040,1716470019.075
1041,1716470020.076
1042,1716470021.077
1043,1716470022.079
1044,1716470023.080
1045,1716470024.081
1046,1716470025.082
1047,1716470026.084
1048,1716470027.085
1049,1716470028.086
1050,1716470029.088
1051,1716470030.089
1052,1716470031.090
1053,1716470032.092
1054,1716470033.093
1055,1716470034.094
1056,1716470035.095
1057,1716470036.097
1058,1716470037.098
1059,1716470038.099
1060,1716470039.101
1061,1716470040.102
1062,1716470041.103
1063,1716470042.104
1064,1716470043.106
1065,1716470044.107
1066,1716470045.108
1067,1716470046.110
1068,1716470047.111
1069,1716470048.112
1070,1716470049.113
1071,1716470050.114
1072,1716470051.116
1073,1716470052.117
1074,1716470053.118
1075,1716470054.120
1076,1716470055.121
1077,1716470056.122
1078,1716470057.123
1079,1716470058.124
1080,1716470059.126
1081,1716470060.127
1082,1716470061.128
1083,1716470062.130
1084,1716470063.131
1085,1716470064.132
1086,1716470065.134
1087,1716470066.135
1088,1716470067.136
1089,1716470068.138
1090,1716470069.139
1091,1716470070.140
1092,1716470071.141
1093,1716470072.143
1094,1716470073.144
1095,1716470074.145
1096,1716470075.146
1097,1716470076.148
1098,1716470077.149
1099,1716470078.150
1100,1716470079.152
1101,1716470080.153
1102,1716470081.154
1103,1716470082.155
1104,1716470083.157
1105,1716470084.158
1106,1716470085.159
1107,1716470086.160
1108,1716470087.162
1109,1716470088.163
1110,1716470089.164
1111,1716470090.165
1112,1716470091.167
1113,1716470092.168
1114,1716470093.169
1115,1716470094.171
1116,1716470095.172
1117,1716470096.173
1118,1716470097.174
1119,1716470098.237
1120,1716470099.238
1121,1716470100.239
1122,1716470101.240
1123,1716470102.242
1124,1716470103.243
1125,1716470104.244
1126,1716470105.245
1127,1716470106.247
1128,1716470107.248
1129,1716470108.249
1130,1716470109.251
1131,1716470110.252
1132,1716470111.253
1133,1716470112.254
1134,1716470113.256
1135,1716470114.257
1136,1716470115.258
1137,1716470116.259
1138,1716470117.261
1139,1716470118.262
1140,1716470119.263
1141,1716470120.265
1142,1716470121.266
1143,1716470122.267
1144,1716470123.390
1145,1716470124.391
1146,1716470125.392
1147,1716470126.394
1148,1716470127.395
1149,1716470128.396
1150,1716470129.397
1151,1716470130.399
1152,1716470131.400
1153,1716470132.401
1154,1716470133.402
1155,1716470134.404
1156,1716470135.405
1157,1716470136.406
1158,1716470137.408
1159,1716470138.409
1160,1716470139.410
1161,1716470140.411
1162,1716470141.413
1163,1716470142.414
1164,1716470143.415
1165,1716470144.416
1166,1716470145.418
1167,1716470146.419
1168,1716470147.420
1169,1716470148.421
1170,1716470149.422
1171,1716470150.424
1172,1716470151.425
1173,1716470152.426
1174,1716470153.427
1175,1716470154.429
1176,1716470155.430
1177,1716470156.431
1178,1716470157.432
1179,1716470158.440
1180,1716470159.441
1181,1716470160.442
1182,1716470161.443
1183,1716470162.445
1184,1716470163.454
1185,1716470164.455
1186,1716470165.456
1187,1716470166.457
1188,1716470167.459
1189,1716470168.467
1190,1716470169.468
1191,1716470170.469
1192,1716470171.471
1193,1716470172.472
1194,1716470173.473
1195,1716470174.474
1196,1716470175.476
1197,1716470176.477
1198,1716470177.478
1199,1716470178.479
1200,1716470179.481
1201,1716470180.482
1202,1716470181.483
1203,1716470182.485
1204,1716470183.486
1205,1716470184.487
1206,1716470185.489
1207,1716470186.490
1208,1716470187.491
1209,1716470188.492
1210,1716470189.494
1211,1716470190.495
1212,1716470191.496
1213,1716470192.497
1214,1716470193.498
1215,1716470194.500
1216,1716470195.501
1217,1716470196.502
1218,1716470197.504
1219,1716470198.505
1220,1716470199.506
1221,1716470200.507
1222,1716470201.509
1223,1716470202.510
1224,1716470203.511
1225,1716470204.512
1226,1716470205.514
1227,1716470206.515
1228,1716470207.516
1229,1716470208.517
1230,1716470209.519
1231,1716470210.520
1232,1716470211.521
1233,1716470212.522
1234,1716470213.524
1235,1716470214.525
1236,1716470215.526
1237,1716470216.528
1238,1716470217.529
1239,1716470218.530
1240,1716470219.531
1241,1716470220.533
1242,1716470221.534
1243,1716470222.535
1244,1716470223.536
1245,1716470224.538
1246,1716470225.539
1247,1716470226.540
1248,1716470227.541
1249,1716470228.543
1250,1716470229.544
1251,1716470230.545
1252,1716470231.546
1253,1716470232.548
1254,1716470233.549
1255,1716470234.550
1256,1716470235.551
1257,1716470236.553
1258,1716470237.554
1259,1716470238.561
1260,1716470239.563
1261,1716470240.564
1262,1716470241.565
1263,1716470242.566
1264,1716470243.573
1265,1716470244.574
1266,1716470245.575
1267,1716470246.576
1268,1716470247.577
1269,1716470248.579
1270,1716470249.580
1271,1716470250.581
1272,1716470251.582
1273,1716470252.584
1274,1716470253.585
1275,1716470254.586
1276,1716470255.588
1277,1716470256.589
1278,1716470257.590
1279,1716470258.591
1280,1716470259.593
1281,1716470260.594
1282,1716470261.595
1283,1716470262.596
1284,1716470263.597
1285,1716470264.599
1286,1716470265.600
1287,1716470266.601
1288,1716470267.602
1289,1716470268.604
1290,1716470269.605
1291,1716470270.606
1292,1716470271.607
1293,1716470272.608
1294,1716470273.610
1295,1716470274.611
1296,1716470275.612
1297,1716470276.613
1298,1716470277.614
1299,1716470278.616
1300,1716470279.617
1301,1716470280.618
1302,1716470281.620
1303,1716470282.621
1304,1716470283.622
1305,1716470284.623
1306,1716470285.625
1307,1716470286.626
1308,1716470287.627
1309,1716470288.628
1310,1716470289.630
1311,1716470290.631
1312,1716470291.632
1313,1716470292.633
1314,1716470293.634
1315,1716470294.636
1316,1716470295.637
1317,1716470296.638
1318,1716470297.640
1319,1716470298.641
1320,1716470299.642
1321,1716470300.643
1322,1716470301.645
1323,1716470302.646
1324,1716470303.647
1325,1716470304.648
1326,1716470305.649
1327,1716470306.651
1328,1716470307.652
1329,1716470308.653
1330,1716470309.654
1331,1716470310.656
1332,1716470311.657
1333,1716470312.658
1334,1716470313.659
1335,1716470314.660
1336,1716470315.662
1337,1716470316.663
1338,1716470317.664
1339,1716470318.665
1340,1716470319.667
1341,1716470320.668
1342,1716470321.669
1343,1716470322.670
1344,1716470323.675
1345,1716470324.677
1346,1716470325.678
1347,1716470326.679
1348,1716470327.680
1349,1716470328.681
1350,1716470329.683
1351,1716470330.684
1352,1716470331.685
1353,1716470332.686
1354,1716470333.687
1355,1716470334.689
1356,1716470335.690
1357,1716470336.691
1358,1716470337.692
1359,1716470338.693
1360,1716470339.695
1361,1716470340.696
1362,1716470341.697
1363,1716470342.699
1364,1716470343.704
1365,1716470344.705
1366,1716470345.706
1367,1716470346.707
1368,1716470347.709
1369,1716470348.718
1370,1716470349.719
1371,1716470350.721
1372,1716470351.722
1373,1716470352.723
1374,1716470353.725
1375,1716470354.726
1376,1716470355.727
1377,1716470356.728
1378,1716470357.729
1379,1716470358.731
1380,1716470359.732
1381,1716470360.733
1382,1716470361.734
1383,1716470362.736
1384,1716470363.737
1385,1716470364.738
1386,1716470365.740
1387,1716470366.741
1388,1716470367.742
1389,1716470368.743
1390,1716470369.745
1391,1716470370.746
1392,1716470371.747
1393,1716470372.748
1394,1716470373.750
1395,1716470374.751
1396,1716470375.752
1397,1716470376.753
1398,1716470377.755
1399,1716470378.761
1400,1716470379.762
1401,1716470380.763
1402,1716470381.764
1403,1716470382.765
1404,1716470383.767
1405,1716470384.768
1406,1716470385.769
1407,1716470386.770
1408,1716470387.772
1409,1716470388.781
1410,1716470389.782
1411,1716470390.783
1412,1716470391.785
1413,1716470392.786
1414,1716470393.787
1415,1716470394.788
1416,1716470395.790
1417,1716470396.791
1418,1716470397.792
1419,1716470398.793
1420,1716470399.795
1421,1716470400.796
1422,1716470401.797
1423,1716470402.799
1424,1716470403.803
1425,1716470404.805
1426,1716470405.806
1427,1716470406.807
1428,1716470407.808
1429,1716470408.813
1430,1716470409.814
1431,1716470410.816
1432,1716470411.817
1433,1716470412.818
1434,1716470413.825
1435,1716470414.826
1436,1716470415.827
1437,1716470416.828
1438,1716470417.830
1439,1716470418.835
1440,1716470419.836
1441,1716470420.837
1442,1716470421.838
1443,1716470422.840
1444,1716470423.841
1445,1716470424.842
1446,1716470425.844
1447,1716470426.845
1448,1716470427.846
1449,1716470428.847
1450,1716470429.848
1451,1716470430.850
1452,1716470431.851
1453,1716470432.852
1454,1716470433.853
1455,1716470434.855
1456,1716470435.856
1457,1716470436.857
1458,1716470437.858
1459,1716470438.862
1460,1716470439.863
1461,1716470440.865
1462,1716470441.866
1463,1716470442.867
1464,1716470443.868
1465,1716470444.870
1466,1716470445.871
1467,1716470446.872
1468,1716470447.874
1469,1716470448.882
1470,1716470449.883
1471,1716470450.884
1472,1716470451.885
1473,1716470452.886
1474,1716470453.890
1475,1716470454.891
1476,1716470455.892
1477,1716470456.894
1478,1716470457.895
1479,1716470458.896
1480,1716470459.898
1481,1716470460.899
1482,1716470461.900
1483,1716470462.902
1484,1716470463.903
1485,1716470464.904
1486,1716470465.906
1487,1716470466.907
1488,1716470467.908
1489,1716470468.910
1490,1716470469.911
1491,1716470470.912
1492,1716470471.913
1493,1716470472.915
1494,1716470473.916
1495,1716470474.917
1496,1716470475.919
1497,1716470476.920
